idx,date,phase,phase_name,title,strategic_impact,counterparties,consideration,project,confidence,is_kula,tenement_ids_count,new_ids_count,cum_tenements,cum_area_km2
0,2024-09-03,1,Leadership Reset,Withdrawal from Koolyanobbing Iron Ore Option (Netley Minerals),Abandoned iron ore diversification after RC drilling returned uneconomic results. First signal that strategy needed a reset. Company pivots implicit resources focus back to gold.,,,,high,False,0,0,0,0
1,2025-02-18,1,Leadership Reset,Daniel Raihani appointed NED; David Izzard resigns,"First board refresh step. Removes Izzard (whose Rockford Partners / Fordrock cost the company ~$101K in admin services in FY2025). Raihani is a substantial shareholder (30M shares), aligning board incentives.",,,,high,False,0,0,0,0
2,2025-05-16,1,Leadership Reset,David Geraghty appointed Non-Executive Director,"Pivotal appointment. Ex-MinRes 21-year metallurgical engineer; architect of mine development and processing strategies. Signals to the market that FRS is reorienting toward production. On the same day a $500K placement at $0.05 completed (16× prior Feb price), confirming investor re-rating.",,,,high,False,0,0,0,0
3,2025-07-24,1,Leadership Reset,Geraghty appointed Non-Executive Chairman; Hannaford resigns; Turnbull joins,"Full board reset complete. Hannaford (whose consulting firm billed $128K in FY2025) departs. Adam Turnbull (substantial holder, 30M shares) added. New board is aligned, experienced and capital-light.",,,,high,False,0,0,0,0
4,2025-08-01,2,Acquisition Blitz,British Hill Gold Project acquisition (IMD Gold Pty Ltd),"With the right leadership in place, FRS begins an aggressive acquisition sprint — buying gold projects at a fraction of in-ground resource value while the market re-rates the stock. First production-ready asset: approved Mining Lease M77/1256; JORC 54,625 oz @ 1.66 g/t Au (Indicated + Inferred); >90% CIL recovery in metallurgical tests; open pit viable. Consideration equivalent to ~$6M in shares. Total resources now ~108K oz.",,$6m,British Hill,high,False,2,2,2,27.6
5,2025-08-11,2,Acquisition Blitz,Hyden Project Holdings binding option (Lady Ada and Lady Magdalene gold deposits),Option for total $15.2M across three tranches over the Hyden Project including Lady Ada and Lady Magdalene deposits (described as 'cornerstone assets' in later investor materials). Formal acquisition pending — option extended Nov 2025. Ambiguity: completion status not confirmed in available source documents.,,,,medium – option only; completion unconfirmed,False,8,8,10,209.8
6,2025-08-14,2,Acquisition Blitz,North Ironcap Gold Project acquisition (North Iron Cap Pty Ltd),"Largest single resource addition in the programme: JORC Inferred 2.412Mt @ 1.37 g/t for 105,953 oz; Mining Lease M77/544 already approved. Consideration 42.1M shares + $2.78M cash (≈$70/oz). Total resources now ~214K oz.",,"$0.11; $2,781,266; $70",North Ironcap,high,False,3,3,13,222.4
7,2025-08-27,2,Acquisition Blitz,$8.61M Placement at $0.205/share (42M shares),Share price has re-rated 16× from February's $0.01. Placement at $0.205 raises $8.61M to fund active acquisition pipeline. Market is now pricing in the consolidation thesis.,,,,high,False,0,0,13,222.4
8,2025-09-12,2,Acquisition Blitz,Burracoppin Gold Project acquisition (Askari Metals / First Western Gold Pty Ltd),"Cheapest acquisition by oz: 82,700 oz JORC Inferred for only $700K total ($250K cash + $450K shares = $8.47/oz). Located 27km west of Ramelius Edna May Gold Mine — proximity strategic for future processing. Total resources now ~297K oz.",Askari Metals,"$700,000; $250,000; $450,000; $0.06",Burracoppin,high,False,5,5,18,337.0
9,2025-09-23,3,Kula Convergence,Westonia Gold Project (4 ELs) acquired from Kula Gold Ltd,"The Kula relationship pivots from a tenement deal to a full corporate takeover — FRS bids to absorb Kula Gold’s entire tenement portfolio, adding Mt Palmer, Johnson Range and strategic Westonia ground in a single stroke. $500K cash + $1M conditional: four exploration licences adjacent to Ramelius Resources' Edna May Gold Mine. Simultaneously establishes tenement relationship with KGD, which becomes the platform for the takeover bid.",Kula Gold Ltd,"$500,000; $1,000,000",Westonia,high,True,4,4,22,554.7
10,2025-09-23,3,Kula Convergence,$1.87M equity investment in Kula Gold Ltd (7.37% at 2.2c/share),"On same day as Westonia tenement purchase: FRS subscribes for 84.9M KGD shares at 2.2c, becoming KGD's largest external shareholder (7.37%). Sets up the takeover. Geraghty: 'We're creating strong bonds with gold companies in our area of influence.' Investment worth $6.65M by Dec 23.",,,,high,True,0,0,22,554.7
11,2025-10-13,3,Kula Convergence,Bid Implementation Deed signed with Kula Gold Ltd,"Formal legal commitment to an off-market takeover bid for all KGD shares. If successful, FRS absorbs Kula’s Mt Palmer (M77/406) — a historic high-grade underground gold mine — plus Johnson Range (M77/1263) and the Westonia exploration licences adjacent to Ramelius’ Edna May Gold Mine. These assets complete a hub-and-spoke network stretching from Coolgardie to Southern Cross, with multiple mining leases already approved and ready for scheduling into a centralised processing pathway.",,,,high,True,0,0,22,554.7
12,2025-11-13,4,Infrastructure Play,Horizon Minerals announces Lake Johnston divestment ($35M) — Binding HOA with FRS,"Tenements without processing infrastructure are just acreage. Lake Johnston transforms FRS from explorer to future producer — a 1.5 Mtpa plant, licensed to 2041, at the centre of the hub-and-spoke network. Horizon (ASX: HRZ) confirms 'Binding Heads of Agreement signed with Forrestania Resources Limited' for the Lake Johnston processing plant. This is the first public signal that FRS has secured the infrastructure that transforms the gold pipeline from theoretical to operational.",,,,high,False,0,0,22,554.7
13,2025-11-17,4,Infrastructure Play,Lake Johnston acquisition HOA executed + $34M capital raising announced,"Transformational: 1.5Mtpa comminution and flotation plant; licensed to 2041; 86km² of mining leases; conversion study to begin immediately. $32M two-tranche placement at $0.175 (Bell Potter, sole lead manager); $2M SPP (later upsized to $5M). Removes greenfields construction risk from the production pathway.",,,,high,False,0,0,22,554.7
14,2025-11-17,4,Infrastructure Play,Geraghty transitions to Executive Chairman; Brett Hodgins joins as Technical Director,Operational shift: FRS moves from acquisition-building to hands-on development. Geraghty's $500K/annum package (subject to shareholder approval; willing to take in equity) signals institutional executive standard. Board now has both corporate (Geraghty) and technical (Hodgins) development leadership.,,,,high,False,0,0,22,554.7
15,2025-11-18,4,Infrastructure Play,"Jaurdi Hill – 3 binding agreements (ALS, FMM, DDM)","Multiple mining and prospecting leases near Jaurdi Hill (22km NW of Ada Ann). Derry's Own and Pride of Jaurdis gold deposits (Jaurdi Hills-Dunnsville greenstone belt). Upfront: $1,399,660 + nominal consideration. Milestones: $350K on ≥25,000 oz JORC resource. Royalty only triggered after 25,000 oz produced. Expands Coolgardie hub; proximity to Beacon's Jaurdi plant is a stated strategic rationale.",,"$1,399,660; $350,000; $300; $100",Jaurdi Hill,high,False,8,8,30,560.4
16,2025-11-20,3,Kula Convergence,Off-market takeover bid for Kula Gold Ltd formally launched,"Bidder’s Statement dispatched to KGD shareholders. The Kula tenement portfolio is the missing piece that connects the Coolgardie–Southern Cross corridor: Mt Palmer feeds high-grade underground ore, Johnson Range adds oxide targets, and the Westonia ELs provide near-mill exploration upside around Edna May. Completing this acquisition transforms FRS from a scattered explorer into a mine-to-mill operator with a clear production pathway through Lake Johnston.",,,,high,True,0,0,30,560.4
17,2025-12-09,4,Infrastructure Play,"Mt Dimer, Mt Jackson and Johnston Range acquisition from Goldzone Investments",Binds mineral rights (ex-iron ore) over three Eastern Goldfields project areas proximal to Lake Johnston infrastructure. $600K cash + shares ≡ $3.55M + milestone payments up to $3M total (on 50K and 100K oz JORC milestones per area). Fills out the Mt Dimer hub around the processing plant.,Goldzone Investments Pty Ltd,"$600,000; $3,550,000; $500,000",Mt Dimer,high,False,1,1,31,676.2
18,2025-12-22,3,Kula Convergence,Kula takeover offer declared unconditional,FRS waives all remaining conditions. Investment now worth $6.65M vs $2.89M cost. s.650D notice issued to ASIC and ASX. KGD control is secured; compulsory acquisition of remaining shares initiated.,,,,high,True,0,0,31,676.2
19,2025-12-31,4,Infrastructure Play,Formal Lake Johnston Sale Agreement executed; ECI partners selected and engaged,Full-form agreement signed with Poseidon Nickel Pty Ltd (Horizon subsidiary); $8M already paid. ECI team engaged: MBS Environmental (approvals/environment); OTOC (non-process infrastructure); Polaris Engineering (process plant); RG Mining (mine planning/scheduling/project execution); PwC (CAPEX/OPEX cost modelling). Production study underway.,,,,high,False,0,0,31,676.2
20,2026-01-12,4,Infrastructure Play,Mantis Resources acquisition (3 ELs adjacent to Lake Johnston),"$235K in shares for E63/2244, E63/2256 and application E63/2411 — directly around the Lake Johnston plant. Condition: Poseidon Nickel farm-in notice withdrawal confirmed. Consolidates land position around the processing infrastructure.",,"$235,000",,high,False,3,3,34,780.0
21,2026-01-12,4,Infrastructure Play,$37M total capital raising complete (Placement + SPP),Tranche 2 Placement ($18.8M) + SPP ($5M upsized) settles. Combined with Tranche 1 ($13.2M Nov 2025): $37M raised in total. Full funding secured for Lake Johnston acquisition and working capital for the development programme.,,,,high,False,0,0,34,780.0
22,2026-01-15,4,Infrastructure Play,Gibraltar acquisition (M15/60 + M15/193 + P15/6203; Coolgardie hub),"Mining leases with approved vat-leaching operation and known ore stockpiles. $2.5M in FRS shares; milestone payments up to $2.7M on first 150K oz JORC; 1% GRR only after 150K oz mined. The stockpiles become immediately monetisable (Westgold OPA, Feb 2026).",,"$2,500,000; $40,000; $2.5m; $2.5",Gibraltar,high,False,3,3,37,780.3
23,2026-01-16,4,Infrastructure Play,ACE Group (Kerry Stokes associates) + Timothy Roberts / Goodoil emerge as substantial shareholders,"Two high-profile WA cornerstone investors become substantial holders following Tranche 2 allotment. Wroxby Pty Ltd (ACE Group/Stokes) and Goodoil Pty Ltd (Roberts, 7.57%). Strategic validation of the production thesis from deep-pocketed WA mining operators.",,,,high,False,0,0,37,780.3
24,2026-01-22,3,Kula Convergence,Kula takeover bid closes; 90%+ voting power; compulsory acquisition of remaining shares proceeds,"FRS reaches the statutory 90% threshold under s.661A of the Corporations Act. Remaining KGD shares subject to compulsory acquisition. KGD is now a wholly-owned FRS subsidiary. Full control of Mt Palmer (M77/406), Johnson Range (M77/1263), Westonia ELs and related assets confirmed.",,,,high,True,0,0,37,780.3
25,2026-02-02,5,Production Readiness,"Mt Palmer 100% secured: Newcam Minerals Binding HoA (AMPPL, AJRPL, AMDPL)","With mill, tenements and capital secured, FRS executes the final steps to production — consolidating ownership, completing acquisitions and signing the first ore sale. Acquires remaining 20% of Aurumin Mt Palmer Pty Ltd from Newcam ($18M in shares at $0.475) plus 100% of Aurumin Johnson Range Pty Ltd and Aurumin Mt Dimer Pty Ltd ($6.16M in shares + milestones). Fully consolidates Mt Palmer (M77/406), Johnson Range (M77/1263) and Mt Dimer hub. Mt Palmer described as historic high-grade gold mine; resource definition pending.",Newcam Minerals Pty Ltd,"$0.475; $18m; $6.16m; $40; $2,400,000",Mt Palmer,high,True,24,24,61,1105.0
26,2026-02-13,5,Production Readiness,Lake Johnston divestment formally COMPLETES (Horizon Minerals confirms),Horizon ASX release: 'the sale of the Lake Johnston processing plant has been completed.' FRS is now the legal owner of the 1.5Mtpa plant and all associated infrastructure. Engineering conversion study (Polaris) and mine scheduling (RG Mining) can commence without encumbrance.,,,,high,False,0,0,61,1105.0
27,2026-02-13,5,Production Readiness,"Mt Dimer, Mt Jackson & Johnson Range acquisition completes (Goldzone Investments)","Goldzone deal formally completes — conditions precedent satisfied. FRS now holds 100% of the mineral rights (excluding iron ore) across three Eastern Goldfields project areas: Mt Dimer, Mt Jackson, and Johnson Range. Original terms: $600K cash + $3.55M in shares at completion, plus up to $3M in JORC resource milestones. Tenements are strategically positioned in proven gold corridors near the wholly-owned Lake Johnston 1.5 Mtpa processing plant, strengthening the medium-term feed pipeline toward gold production.",Goldzone Investments Pty Ltd,$600K cash + $3.55M in shares + up to $3M milestones,Mt Dimer / Mt Jackson / Johnson Range,high,False,11,11,71,1187.1
28,2026-02-16,5,Production Readiness,MacPhersons Reward acquisition binding HoA (Beacon Minerals / BCN),"Binding HoA to acquire 100% of MacPhersons Reward Pty Ltd from Beacon Mining (ASX:BCN subsidiary) for $5M cash + 36M FRS shares at $0.38 (~$18.68M total). MacPhersons holds six granted Mining Leases, two PLs and four Misc Licences in the Coolgardie gold district with historic production of ~60K oz @ 2.94 g/t. Consolidates granted mining tenure directly south of FRS's existing Coolgardie Hub (including recently acquired Gibraltar), supporting the transition from explorer to near-term producer with proximity to multiple processing plants (Three Mile Hill, Greenfields, Burbanks).","Beacon Mining Pty Ltd (Beacon Minerals Limited, ASX:BCN)",$5M cash + 36M shares @ $0.38 (~$18.68M total),MacPhersons Reward (Coolgardie Hub),high,False,12,12,83,1191.2
29,2026-02-19,5,Production Readiness,Westgold Ore Purchase Agreement executed (Gibraltar stockpile ore),"First revenue event. Westgold Resources (ASX: WGX) will purchase: (1) initial parcel ~150,000 dry tonnes from Gibraltar stockpiles; (2) up to 3 further parcels of ~200,000 dry tonnes each; at $48/dt delivered. $2.0M commencement payment payable within 7 business days. Initial parcel delivery before 31 March 2026. Total potential revenue: ~$7.2M (initial) to ~$35M (all parcels). Validates ore quality; provides cash bridge through Lake Johnston conversion period.",,,,high,False,0,0,83,1191.2
30,2026-02-25,5,Production Readiness,Forrestania Hub consolidation — 6 ELs acquired from Flynn Gold Limited,"Binding HoA to acquire four granted Exploration Licences (E77/2915, E63/2187, E63/2188, E63/2190) and two Applications (E63/2408, E63/2414) from Flynn Gold Limited for $350K in FRS shares at $0.5457/share. Located on the southern extension of the Archaean Southern Cross Belt within the Forrestania Hub — adjacent to the Bounty deposit (1Moz+) and proximal to the wholly-owned Lake Johnston 1.5Mtpa processing plant. Continues the disciplined tenure consolidation strategy around existing granted mining tenure while preserving cash for near-term production development.",Flynn Gold Limited,$350K in FRS shares @ $0.5457/share,Forrestania Hub,high,False,6,6,89,1546.2
31,2026-02-25,5,Production Readiness,Eastern Goldfields Hub consolidation — 11 ELs acquired from Amery Holdings,"Two Binding HoAs with Amery Holdings Pty Ltd to consolidate the Eastern Goldfields Hub. Deal 1: E25/663 for $125K in FRS shares at 5-day VWAP. Deal 2: seven granted ELs (E28/3253, E28/3284, E28/3387, E28/3350, E28/3478, E28/3334, E28/3512) and three Applications (E28/3411, E28/3490, E28/3540) for $300K in FRS shares at 5-day VWAP. Both deals include JORC milestone payments of $150K per 10,000 oz above 30,000 oz (at FRS election: cash or shares). The Eastern Goldfields Hub spans the Kalgoorlie, Kurnalpi, Burtville and Yamarna Terranes — proven gold corridors hosting major deposits (Super Pit, Paddington, Carosue Dam, Karonie). Combined $425K consideration continues the capital-preserving share-based acquisition strategy while expanding regional footprint north-east of the existing Menzies and Coolgardie hubs.",Amery Holdings Pty Ltd,$425K in FRS shares ($125K + $300K) + JORC milestones,Eastern Goldfields Hub,high,False,11,11,100,1872.8
